size_sq_ft,propertyType,bedrooms,localityName,price
400,Independent Floor,1,Swasthya Vihar,9000
1050,Apartment,2,mayur vihar phase 1,20000
2250,Independent Floor,2,Swasthya Vihar,28000
1350,Independent Floor,2,Krishna Nagar,28000
450,Apartment,2,New Ashok Nagar,12500
600,Independent House,2,New Ashok Nagar,10000
600,Independent Floor,2,New Ashok Nagar,12000
900,Independent Floor,2,mayur vihar phase 1,15500
680,Independent Floor,2,mayur vihar phase 1,13000
360,Independent Floor,1,New Ashok Nagar,8500
700,Independent Floor,2,Anand Vihar,11000
1000,Independent House,2,Preet Vihar,14000
1080,Independent Floor,3,Shahdara,15000
3000,Independent Floor,3,Shahdara,100000
450,Independent House,1,mayur vihar phase 1,9500
500,Independent House,1,Mandawali,15000
1000,Independent Floor,2,Krishna Nagar,16000
390,Independent House,1,New Ashok Nagar,8500
1200,Independent Floor,1,mayur vihar phase 1,6500
800,Independent House,2,Mandawali,22000
1700,Apartment,3,Mayur Vihar II,31000
1350,Independent Floor,3,AGCR Enclave,45000
900,Independent Floor,2,Shahdara,16000
600,Independent House,2,New Ashok Nagar,10000
1150,Independent Floor,1,Krishna Nagar,30000
600,Independent Floor,2,New Ashok Nagar,12000
1800,Independent Floor,2,Swasthya Vihar,32000
430,Apartment,1,mayur vihar phase 1,15500
350,Independent Floor,1,mayur vihar phase 1,6000
1000,Independent Floor,3,Krishna Nagar,14000
300,Independent Floor,1,New Ashok Nagar,6500
1200,Apartment,2,Mayur Vihar II,32000
270,Independent Floor,1,New Ashok Nagar,5200
450,Independent Floor,1,mayur vihar phase 1,12350
1200,Independent Floor,3,Krishna Nagar,28000
900,Independent Floor,3,Swasthya Vihar,15000
1800,Independent Floor,2,Preet Vihar,40000
500,Independent Floor,1,Krishna Nagar,15000
1000,Apartment,2,Mayur Vihar,20000
320,Apartment,1,Mayur Vihar,9500
650,Apartment,2,New Ashok Nagar,15000
1300,Independent Floor,2,Preet Vihar,30000
650,Independent House,2,Trilokpuri,12300
500,Independent Floor,1,New Ashok Nagar,8000
500,Apartment,1,Mayur Vihar,17500
1000,Independent Floor,2,Preet Vihar,12000
360,Independent Floor,1,New Ashok Nagar,8000
500,Independent Floor,1,New Ashok Nagar,12000
550,Apartment,1,Swasthya Vihar,14000
1650,Independent Floor,3,Swasthya Vihar,33500
2350,Independent Floor,3,Preet Vihar,35000
650,Independent Floor,2,mayur vihar phase 1,13000
1300,Apartment,3,mayur vihar phase 1,26000
450,Independent Floor,1,mayur vihar phase 1,10000
500,Independent House,1,Preet Vihar,10000
550,Independent House,1,Trilokpuri,11500
300,Independent Floor,1,New Ashok Nagar,5500
700,Apartment,2,New Ashok Nagar,14000
400,Independent Floor,1,Preet Vihar,7500
360,Independent Floor,1,New Ashok Nagar,8500
300,Independent Floor,1,New Ashok Nagar,6500
530,Independent Floor,2,Swasthya Vihar,12000
1550,Independent Floor,2,Anand Vihar,35500
1400,Independent Floor,3,Swasthya Vihar,20000
1200,Apartment,2,mayur vihar phase 1,27000
1000,Apartment,3,mayur vihar phase 1,22000
550,Independent Floor,2,mayur vihar phase 1,10300
350,Independent Floor,1,Krishna Nagar,6500
450,Independent Floor,1,mayur vihar phase 1,10000
1000,Independent Floor,1,Preet Vihar,15000
640,Apartment,2,New Ashok Nagar,10000
300,Apartment,1,New Ashok Nagar,6000
550,Independent Floor,2,New Ashok Nagar,10500
320,Independent Floor,1,New Ashok Nagar,6700
900,Independent Floor,3,Swasthya Vihar,16000
2000,Independent Floor,2,Krishna Nagar,43000
2250,Independent Floor,3,Swasthya Vihar,45000
1620,Independent Floor,2,Preet Vihar,26000
1750,Independent Floor,2,Anand Vihar,45000
1800,Independent Floor,3,Anand Vihar,45000
1000,Apartment,2,mayur vihar phase 1,23000
700,Apartment,1,mayur vihar phase 1,23000
1000,Apartment,2,mayur vihar phase 1,23000
1800,Independent Floor,3,Preet Vihar,35000
1350,Apartment,3,mayur vihar phase 1,38000
1000,Apartment,2,mayur vihar phase 1,26000
1400,Apartment,3,mayur vihar phase 1,30000
1000,Apartment,2,mayur vihar phase 1,25000
1150,Independent Floor,2,Krishna Nagar,30000
1500,Independent Floor,1,Swasthya Vihar,35000
1200,Apartment,2,mayur vihar phase 1,32000
1350,Independent Floor,2,Preet Vihar,22000
1750,Independent Floor,2,Anand Vihar,40000
1000,Apartment,2,mayur vihar phase 1,25000
1200,Apartment,2,mayur vihar phase 1,28000
1000,Apartment,2,mayur vihar phase 1,25000
1000,Apartment,2,mayur vihar phase 1,26000
700,Independent Floor,2,Swasthya Vihar,12000
2250,Independent Floor,2,Preet Vihar,28000
1400,Apartment,3,mayur vihar phase 1,32000
350,Apartment,1,Swasthya Vihar,7500
450,Apartment,1,Swasthya Vihar,8500
360,Independent Floor,1,Swasthya Vihar,10000
450,Independent Floor,1,Swasthya Vihar,9000
200,Apartment,1,Swasthya Vihar,7500
400,Apartment,1,Swasthya Vihar,10000
350,Independent Floor,1,Swasthya Vihar,7500
250,Independent Floor,1,Swasthya Vihar,5500
900,Independent Floor,3,Swasthya Vihar,20000
650,Independent Floor,2,Swasthya Vihar,13500
450,Independent Floor,1,Swasthya Vihar,9000
1400,Independent Floor,3,Swasthya Vihar,20000
