size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft,location_avg_price
1050,Apartment,2,mayur vihar phase 1,20000,19.047619047619047,19561.660079051384
2250,Independent Floor,2,Swasthya Vihar,28000,12.444444444444445,32710.714285714286
1350,Independent Floor,2,Krishna Nagar,28000,20.74074074074074,25532.05128205128
450,Apartment,2,New Ashok Nagar,12500,27.77777777777778,12721.019108280254
600,Independent House,2,New Ashok Nagar,10000,16.666666666666668,12721.019108280254
600,Independent Floor,2,New Ashok Nagar,12000,20.0,12721.019108280254
900,Independent Floor,2,mayur vihar phase 1,15500,17.22222222222222,19561.660079051384
680,Independent Floor,2,mayur vihar phase 1,13000,19.11764705882353,19561.660079051384
700,Independent Floor,2,Anand Vihar,11000,15.714285714285714,34318.181818181816
1000,Independent House,2,Preet Vihar,14000,14.0,23355.555555555555
1080,Independent Floor,3,Shahdara,15000,13.88888888888889,26978.260869565216
3000,Independent Floor,3,Shahdara,100000,33.333333333333336,26978.260869565216
1000,Independent Floor,2,Krishna Nagar,16000,16.0,25532.05128205128
800,Independent House,2,other,22000,27.5,61900.17677136596
1700,Apartment,3,Mayur Vihar II,31000,18.235294117647058,25710.0
1350,Independent Floor,3,other,45000,33.333333333333336,61900.17677136596
900,Independent Floor,2,Shahdara,16000,17.77777777777778,26978.260869565216
600,Independent House,2,New Ashok Nagar,10000,16.666666666666668,12721.019108280254
600,Independent Floor,2,New Ashok Nagar,12000,20.0,12721.019108280254
1800,Independent Floor,2,Swasthya Vihar,32000,17.77777777777778,32710.714285714286
1000,Independent Floor,3,Krishna Nagar,14000,14.0,25532.05128205128
1200,Apartment,2,Mayur Vihar II,32000,26.666666666666668,25710.0
1200,Independent Floor,3,Krishna Nagar,28000,23.333333333333332,25532.05128205128
900,Independent Floor,3,Swasthya Vihar,15000,16.666666666666668,32710.714285714286
1800,Independent Floor,2,Preet Vihar,40000,22.22222222222222,23355.555555555555
1000,Apartment,2,Mayur Vihar,20000,20.0,21792.941176470587
650,Apartment,2,New Ashok Nagar,15000,23.076923076923077,12721.019108280254
1300,Independent Floor,2,Preet Vihar,30000,23.076923076923077,23355.555555555555
650,Independent House,2,other,12300,18.923076923076923,61900.17677136596
1000,Independent Floor,2,Preet Vihar,12000,12.0,23355.555555555555
1650,Independent Floor,3,Swasthya Vihar,33500,20.303030303030305,32710.714285714286
2350,Independent Floor,3,Preet Vihar,35000,14.893617021276595,23355.555555555555
650,Independent Floor,2,mayur vihar phase 1,13000,20.0,19561.660079051384
1300,Apartment,3,mayur vihar phase 1,26000,20.0,19561.660079051384
700,Apartment,2,New Ashok Nagar,14000,20.0,12721.019108280254
530,Independent Floor,2,Swasthya Vihar,12000,22.641509433962263,32710.714285714286
1550,Independent Floor,2,Anand Vihar,35500,22.903225806451612,34318.181818181816
1400,Independent Floor,3,Swasthya Vihar,20000,14.285714285714286,32710.714285714286
1200,Apartment,2,mayur vihar phase 1,27000,22.5,19561.660079051384
1000,Apartment,3,mayur vihar phase 1,22000,22.0,19561.660079051384
550,Independent Floor,2,mayur vihar phase 1,10300,18.727272727272727,19561.660079051384
640,Apartment,2,New Ashok Nagar,10000,15.625,12721.019108280254
550,Independent Floor,2,New Ashok Nagar,10500,19.09090909090909,12721.019108280254
900,Independent Floor,3,Swasthya Vihar,16000,17.77777777777778,32710.714285714286
